,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
126,27,0.22456273022890091,0.2327614581823349,0.9315,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
127,28,0.21555788676738738,0.22524559359550475,0.9342,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
128,29,0.20699271100759506,0.21830794929265976,0.9364,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
129,30,0.19899181461334228,0.21160062353610992,0.9385,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
130,31,0.19150276705026625,0.2054188137292862,0.9404,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
131,32,0.1844985921084881,0.1995907772183418,0.9417,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
132,33,0.17795692377090455,0.19421802543401717,0.9432,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
133,34,0.1718255718111992,0.18910528450012207,0.945,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
134,35,0.16607420784235,0.18438429303169251,0.9463,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
135,36,0.16068360302448273,0.17988391373753548,0.9471,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
136,37,0.15561621878147125,0.17572967356443406,0.9481,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
137,38,0.15082986229658127,0.17192368409633638,0.9491,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
138,39,0.1463070338845253,0.16836161152720452,0.95,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
139,40,0.1419956332206726,0.1650763728916645,0.9513,10,SGD,0.01,20250922_185031,comparison_layers10_optSGD_lr0.01_20250922_185031.pkl
