,epoch,train_loss,valid_loss,valid_acc,layers,optimizer,lr,timestamp,source_file
103,4,1.5344882215499878,1.2851819801330566,0.5809,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
104,5,1.1075477631568909,0.9412859708786011,0.702,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
105,6,0.8186536568641662,0.700732505607605,0.7876,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
106,7,0.6442701003074646,0.5808183149337769,0.8262,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
107,8,0.5533957933425904,0.5137327061653137,0.8477,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
108,9,0.49654083151817324,0.4692220640182495,0.8606,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
109,10,0.4555828835964203,0.4354869015693665,0.8714,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
110,11,0.4230573566436768,0.4077465547084808,0.8787,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
111,12,0.39581286845207214,0.38365640683174135,0.8859,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
112,13,0.3722096917629242,0.3624749626159668,0.8911,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
113,14,0.3514638692140579,0.34343469619750977,0.8971,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
114,15,0.3329288793087006,0.3265500904798508,0.9023,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
115,16,0.31619104285240174,0.31144191958904266,0.906,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
116,17,0.3009967139840126,0.2977392475128174,0.9102,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
117,18,0.2870729835987091,0.28520042324066164,0.9148,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
118,19,0.27416215355396273,0.27397980782985687,0.9174,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
119,20,0.2622406004905701,0.2634550528883934,0.9205,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
120,21,0.25113024990558624,0.2535003984928131,0.9229,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
121,22,0.2407397394657135,0.24436665838956834,0.9271,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
122,23,0.23104041788578034,0.23587790669202804,0.93,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
123,24,0.22190541899204255,0.22793832701444625,0.9324,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
124,25,0.21332342842817306,0.220529767370224,0.9351,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
125,26,0.2052703760266304,0.21361692955493927,0.938,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
126,27,0.19765213599801063,0.2070422614097595,0.9403,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
127,28,0.1904852201104164,0.20102100554704666,0.942,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
128,29,0.18371931235790254,0.19539559832811357,0.9439,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
129,30,0.17735502420067786,0.19010741227269173,0.9463,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
130,31,0.1713646939277649,0.18508692500591278,0.9477,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
131,32,0.16573763545751571,0.18038673205375672,0.9495,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
132,33,0.16039112078547477,0.17595065277814864,0.9503,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
133,34,0.1553330058455467,0.1717488509118557,0.9516,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
134,35,0.1505159044265747,0.1677908826470375,0.9525,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
135,36,0.14591169189810752,0.16406475468873977,0.9539,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
136,37,0.14148737405538558,0.1606246341884136,0.9543,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
137,38,0.13727121906280518,0.15727529537975787,0.9548,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
138,39,0.13323758364915847,0.15412616069018842,0.9556,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
139,40,0.12936738417744637,0.151205427262187,0.9565,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
140,41,0.12567341713309288,0.14845209464430809,0.9569,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
141,42,0.1221686193048954,0.14632746462523938,0.9576,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
142,43,0.11877867079079152,0.14384107985198497,0.9581,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
143,44,0.11549789231419563,0.14150850900113582,0.959,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
144,45,0.11235106428265572,0.13939595427960158,0.9594,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
145,46,0.10931617433130741,0.13743547630459071,0.9595,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
146,47,0.106400904199481,0.13545911094993354,0.9603,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
147,48,0.10356807364821434,0.13371046517044305,0.9608,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
148,49,0.10082441563606262,0.13195614691227675,0.9609,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
149,50,0.09820827513635158,0.13027030298113823,0.9612,3,SGD,0.01,20250922_172836,comparison_hidNone_layers3_optSGD_lr0.01_20250922_172836.pkl
150,1,1.9348933652877807,1.4306992835998535,0.7709,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
151,2,1.0690047072410584,0.7893713453292847,0.8373,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
152,3,0.6873635707855225,0.5797676637172698,0.8663,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
153,4,0.545612630367279,0.4860932909011841,0.8805,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
154,5,0.47450184178352356,0.43395890107154844,0.8884,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
155,6,0.4318997922897339,0.40095390105247497,0.8932,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
156,7,0.4033703989982605,0.37809102532863614,0.8971,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
157,8,0.3826882269859314,0.3611570435285568,0.9,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
158,9,0.36676148986816404,0.34794087433815,0.902,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
159,10,0.3538988888025284,0.33717914555072787,0.9049,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
160,11,0.34313380246162417,0.32810801916122434,0.9076,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
161,12,0.33385217814445495,0.3202692337989807,0.9094,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
162,13,0.3256769798755646,0.31335312447547914,0.9116,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
163,14,0.3183503036260605,0.3071539866924286,0.9133,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
164,15,0.3116882075309753,0.3015156687498093,0.9156,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
165,16,0.30555627570152283,0.2963139269828796,0.9175,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
166,17,0.2998468186855316,0.2914654328107834,0.919,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
167,18,0.2944933145046234,0.2869196921348572,0.9205,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
168,19,0.2894294714808464,0.2826081242322922,0.9213,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
169,20,0.28460947123765945,0.2784919479370117,0.9217,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
170,21,0.28000974897146225,0.2745597865343094,0.9227,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
171,22,0.275606265604496,0.2708025736093521,0.9236,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
172,23,0.2713807431459427,0.2671630137681961,0.9246,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
173,24,0.26730059690475466,0.263637943482399,0.9259,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
174,25,0.2633572350978851,0.2602300842285156,0.9271,1,SGD,0.01,20250922_172213,comparison_hidNone_layers1_optSGD_lr0.01_20250922_172213.pkl
